FID,PRKID,PRKNAME,PRKADDR,STREETNO,STREETDIR,STREETNM,STREETTYPE,CITY,STATE,ZIP,PRKTYPE,PRKSTATUS,PRKDIST,PRKSIZE,PRKPHONE,PRKAGE,PRKADAACC,CITYCOUNCI,BOCC,PRKDATE,USERID,X,Y
239,MOEP,MERRY OAKS ELEM. NEIGHBORHOOD PARK,3508 DRAPER AVE,0,S,JOHNSTON OEHLER,DR,CHARLOTTE,NC,28205,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,1.436,7043651265,0,0,District 2,District 4,1998-10-12T00:00:00.000Z,BLACKSR,1466732.022,539660.225
240,MCDP,MCDOWELL CREEK NEIGHBORHOOD PARK,GILEAD RD,0,N,JOHNSTON OEHLER,ST,HUNTERSVILLE,NC,28078,NEIGHBORHOOD PARK,UNDEVELOPED,NORTH,14.349,7043726261,0,0,District 1,District 1,2008-07-28T00:00:00.000Z,BLACKSR,1437657.545,608366.9932
241,WMJP,WEST MECK NEIGHBORHOOD PARK,WESTERWOOD DR,0,S,RAVENCROFT,RD,CHARLOTTE,NC,28214,NEIGHBORHOOD PARK,UNDEVELOPED,NORTH,4.085,7043363367,0,0,District 1,District 2,2008-07-28T00:00:00.000Z,BLACKSR,1416395.272,551607.9467
242,LKWD,LAKEWOOD NEIGHBORHOOD PARK,3131 KALYNNE ST,3131,E,BAXTER,DR,CHARLOTTE,NC,28208,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,10.946,7043368866,0,0,District 3,District 2,1998-07-28T00:00:00.000Z,BLACKSR,1439507.426,552094.7424
243,LNCH,LINCOLN HEIGHTS NEIGHBORHOOD PARK,CATHERINE SIMMONS AV,0,S,MONROE,DR,CHARLOTTE,NC,28216,NEIGHBORHOOD PARK,UNDEVELOPED,CENTRAL,10.316,7043368866,0,0,District 3,District 2,1998-10-12T00:00:00.000Z,BLACKSR,1448384.377,555887.845
244,LPEQ,LATTA PLANTATION EQUESTRIAN CENTER,6201 SAMPLE RD,6201,N,SHAMROCK,ST,HUNTERSVILLE,NC,28216,SPECIAL FACILITY,DEVELOPED,NORTH,0,7043363367,0,0,District 3,District 1,1998-07-28T00:00:00.000Z,BLACKSR,1429213.194,588773.3575
245,LTLP,LITTLE PEOPLES NEIGHBORHOOD PARK,1120 HARRILL ST,1200,S,SHAMROCK,RD,CHARLOTTE,NC,28205,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,0.194,7048969808,0,0,District 2,District 3,1998-07-28T00:00:00.000Z,BLACKSR,1456404.896,543042.1736
246,LTRC,ROBERT L. SMITH REGIONAL PARK,1604 LITTLE ROCK RD,0,E,BEAL,AV,CHARLOTTE,NC,28214,REGIONAL PARK,DEVELOPED,NORTH,209.149,7046433405,0,0,District 2,District 1,1998-09-02T00:00:00.000Z,BLACKSR,1420690.976,553800.9099
247,PENN,CHARLIE AND IDA GRAHAM COMMUNITY PARK,OLIVER HAGER RD,0,S,STERLING,RD,HUNTERSVILLE,NC,28078,COMMUNITY PARK,UNDEVELOPED,NORTH,45.551,7048969808,0,0,District 2,District 1,2008-04-21T00:00:00.000Z,BLACKSR,1433550.731,616092.1017
248,MATH,MECK. CO. REGIONAL SPORTS COMPLEX,1601 TANK TOWN RD,0,N,HERRIN,RD,MATTHEWS,NC,28105,REGIONAL PARK,DEVELOPED,SOUTH,196.394,7046433405,0,0,District 3,District 6,1998-10-06T00:00:00.000Z,BLACKSR,1491044.214,498440.7913
