FID,PRKID,PRKNAME,PRKADDR,STREETNO,STREETDIR,STREETNM,STREETTYPE,CITY,STATE,ZIP,PRKTYPE,PRKSTATUS,PRKDIST,PRKSIZE,PRKPHONE,PRKAGE,PRKADAACC,CITYCOUNCI,BOCC,PRKDATE,USERID,X,Y
117,CLAN,CLANTON COMMUNITY PARK,1520 CLANTON RD,1520,S,CLANTON,AV,CHARLOTTE,NC,28217,COMMUNITY PARK,DEVELOPED,CENTRAL,54.575,7043531165,0,0,District 3,District 2,1998-07-28T00:00:00.000Z,BLACKSR,1434460.697,536098.5176
118,UNIV,UNIVERSITY MEADOWS NEIGHBORHOOD PARK,PAVILION DR,0,W,NO ADDRESS,RD,CHARLOTTE,NC,28262,NEIGHBORHOOD PARK,UNDEVELOPED,NORTH,4.743,7045684044,0,0,District 4,District 1,1998-07-28T00:00:00.000Z,BLACKSR,1489060.658,573648.1915
119,UNTY,UNITY NEIGHBORHOOD PARK,6401 KELSEY DR,6401,S,KELSEY,DR,CHARLOTTE,NC,28215,NEIGHBORHOOD PARK,DEVELOPED,NORTH,5.331,7043651265,0,0,District 5,District 3,1998-07-28T00:00:00.000Z,BLACKSR,1476831.169,552569.6499
120,CLEM,CLEMSON AVENUE NEIGHBORHOOD PARK,3028 CLEMSON AVE,3028,N,CLEMSON,ST,CHARLOTTE,NC,28205,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,0.909,7043726261,0,0,District 1,District 3,1998-07-28T00:00:00.000Z,BLACKSR,1461636.744,547720.8184
121,UPST,BEREWICK REGIONAL PARK,DIXIE RIVER RD,0,S,NO ADDRESS,RD,CHARLOTTE,NC,28208,REGIONAL PARK,DEVELOPED,SOUTH,203.278,7043363367,0,0,District 1,District 1,1998-10-06T00:00:00.000Z,BLACKSR,1408316.81,523915.2725
122,VETS,VETERANS NEIGHBORHOOD PARK,2136 CENTRAL AV,2136,W,CENTRAL,DR,CHARLOTTE,NC,28205,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,17.556,7043368866,0,0,District 3,District 4,1998-07-28T00:00:00.000Z,BLACKSR,1461194.792,539774.3774
123,CLKD,EASTFIELD REGIONAL PARK,13729 EASTFIELD RD,0,E,NO ADDRESS,DR,HUNTERSVILLE,NC,28078,REGIONAL PARK,UNDEVELOPED,NORTH,114.902,7043368866,0,0,District 3,District 1,1998-10-09T00:00:00.000Z,BLACKSR,1470610.544,602263.5637
124,VIEW,VIEWMONT NEIGHBORHOOD PARK,5400 VIEWMONT DR,5400,S,VIEWMONT,ST,CHARLOTTE,NC,28215,NEIGHBORHOOD PARK,DEVELOPED,NORTH,11.026,7043363367,0,0,District 3,District 3,1998-07-28T00:00:00.000Z,BLACKSR,1477494.418,554226.9274
125,CLWD,SHUFFLETOWN COMMUNITY PARK,9530 BELLHAVEN BV,0,N,NO ADDRESS,RD,CHARLOTTE,NC,28216,COMMUNITY PARK,DEVELOPED,NORTH,54.203,7048969808,0,0,District 2,District 1,1998-08-12T00:00:00.000Z,BLACKSR,1420040.83,575660.4523
126,WADD,WADDELL STREET NEIGHBORHOOD PARK,1505 WADDELL ST,1505,S,WADDELL,AV,CHARLOTTE,NC,28216,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,4.882,7046433405,0,0,District 2,District 2,1998-07-28T00:00:00.000Z,BLACKSR,1448839.995,552887.3995
127,WCLT,WEST CHARLOTTE CENTER,2401 KENDALL DR,2401,E,KENDALL,RD,CHARLOTTE,NC,28216,RECREATION CENTER,DEVELOPED,CENTRAL,0,7043931560,0,0,District 2,District 2,1998-07-28T00:00:00.000Z,BLACKSR,1445810.226,557885.4875
128,CMCP,CAMPBELL CREEK COMMUNITY PARK,6601 BARCLIFFE DR,6601,S,BARCLIFFE,DR,CHARLOTTE,NC,28212,COMMUNITY PARK,DEVELOPED,SOUTH,20.716,7045684044,0,0,District 3,District 4,1998-07-28T00:00:00.000Z,BLACKSR,1481781.309,537915.1491
129,WCPK,WEST CHARLOTTE NEIGHBORHOOD PARK,2401 KENDALL DR,2401,N,KENDALL,DR,CHARLOTTE,NC,28216,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,3.216,7043931560,0,0,District 2,District 2,1998-07-28T00:00:00.000Z,BLACKSR,1445858.204,557476.3513
130,WEST,WESTERLY HILLS NEIGHBORHOOD PARK,3900 AMERIGO ST,3900,S,AMERIGO,ST,CHARLOTTE,NC,28208,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,12.514,7043531165,0,0,District 2,District 2,1998-07-28T00:00:00.000Z,BLACKSR,1431155.759,544343.3988
131,CMGP,CAMP GREENE COMMUNITY PARK,1221 ALLEGHANY ST,1221,E,ALLEGHANY,ST,CHARLOTTE,NC,28208,COMMUNITY PARK,DEVELOPED,CENTRAL,27.353,7043531165,0,0,District 1,District 3,1998-07-28T00:00:00.000Z,BLACKSR,1435535.911,546692.186
132,WILM,WILMORE NEIGHBORHOOD PARK,900 SPRUCE ST,900,S,SPRUCE,ST,CHARLOTTE,NC,28203,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,1.271,7043531165,0,0,District 4,District 2,1998-07-28T00:00:00.000Z,BLACKSR,1442129.571,540638.2839
133,WING,WINGATE NEIGHBORHOOD PARK,2731 MAYFAIR AV,2731,N,MAYFAIR,AV,CHARLOTTE,NC,28208,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,3.118,7043531165,0,0,District 3,District 2,1998-11-24T00:00:00.000Z,BLACKSR,1430094.125,538449.6993
134,COLB,COLONEL FRANCIS J. BEATTY REGIONAL PARK,4330 WEDDINGTON RD,4330,E,WEDDINGTON,RD,CHARLOTTE,NC,28105,REGIONAL PARK,DEVELOPED,SOUTH,264.593,7046433405,0,0,District 7,District 6,1998-07-28T00:00:00.000Z,BLACKSR,1482797.696,483905.4114
135,WRDP,WILLIAM R. DAVIE REGIONAL PARK,4635  PINEVILLE-MATTHEWS RD,4635,E,PINEVILLE-MATTHEWS,RD,CHARLOTTE,NC,28226,REGIONAL PARK,DEVELOPED,SOUTH,106.713,7046433405,0,0,District 7,District 6,2008-05-14T00:00:00.000Z,BLACKSR,1460330.636,492983.2242
136,YORK,YORKMONT NEIGHBORHOOD PARK,6417 VICKERS RD,6417,S,VICKERS,RD,CHARLOTTE,NC,28217,NEIGHBORHOOD PARK,DEVELOPED,SOUTH,2.665,7045831176,0,0,District 3,District 2,1998-07-28T00:00:00.000Z,BLACKSR,1431594.515,520191.6372
137,FLNP,FLAT BRANCH NATURE PRESERVE,TOM SHORT RD,0,S,NO ADDRESS,RD,CHARLOTTE,NC,28277,NATURE PRESERVE,DEVELOPED,SOUTH,42.218, ,0,0,District 7,District 6,2007-02-08T00:00:00.000Z,BLACKSR,1462999.583,476119.3211
138,COLL,COLLINS NEIGHBORHOOD PARK,4500 APPLEGATE RD,4500,W,APPLEGATE,DR,CHARLOTTE,NC,28209,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,3.674,7043362884,0,0,District 1,District 5,1998-07-28T00:00:00.000Z,BLACKSR,1440891.902,526281.686
139,AFRM,ALLISON FARM COMMUNITY PARK,21705 SHEARER RD,0,E,TYVOLA,ST,HUNTERSVILLE,NC,28078,COMMUNITY PARK,UNDEVELOPED,NORTH,33.642,7045684044,0,0,District 1,District 1,2008-04-17T00:00:00.000Z,BLACKSR,1465637.242,642387.9453
140,WHIT,WHITE COMMUNITY PARK,DAVIDSON-CONCORD RD,0,S,KINGS,RD,DAVIDSON,NC,28078,COMMUNITY PARK,UNDEVELOPED,NORTH,30.21,7043651265,0,0,District 3,District 1,2008-04-21T00:00:00.000Z,BLACKSR,1469409.557,621844.8342
141,WINT,WINTERFIELD NEIGHBORHOOD PARK,3010 WINTERFIELD PL,0,W,WILHELMINA,DR,CHARLOTTE,NC,28205,NEIGHBORHOOD PARK,DEVELOPED,SOUTH,13.77,7043726261,0,0,District 3,District 4,1899-12-30T00:00:00.000Z,BLACKSR,1472619.601,535594.4866
142,COLN,COLONIAL NEIGHBORHOOD PARK,219 PROVIDENCE RD,219,S,JOHNSTON OEHLER,DR,CHARLOTTE,NC,28207,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,2.492,7043363367,0,0,District 3,District 5,1998-07-28T00:00:00.000Z,BLACKSR,1455178.719,535075.1338
143,WBNP,WEST BRANCH NATURE PRESERVE, ,0,N,JOHNSTON OEHLER,ST,DAVIDSON,NC, ,NATURE PRESERVE,UNDEVELOPED,NORTH,90.721,7043368866,0,0,District 2,District 1,1899-12-30T00:00:00.000Z,BLACKSR,1472191.474,624484.3328
144,HAPK,HUNTERSVILLE ATHLETIC COMMUNITY PARK, ,0,S,RAVENCROFT,RD,HUNTERSVILLE,NC, ,COMMUNITY PARK,DEVELOPED,NORTH,74.257,7043368866,0,0,District 2,District 1,1899-12-30T00:00:00.000Z,BLACKSR,1450116.552,602411.6415
145,WEPK,ROMARE BEARDEN NEIGHBORHOOD PARK,416 W 3RD ST,0,W,BAXTER,AV,CHARLOTTE,NC,28202,NEIGHBORHOOD PARK,UNDEVELOPED,CENTRAL,4.14,7043363367,0,0,District 2,District 3,1998-08-12T00:00:00.000Z,BLACKSR,1448473.788,542693.2278
146,COOK,COOK REGIONAL PARK,ERVIN COOK RD,0,E,MONROE,RD,CHARLOTTE,NC,28078,REGIONAL PARK,UNDEVELOPED,NORTH,147.148,7048969808,0,0,District 3,District 1,1899-12-30T00:00:00.000Z,BLACKSR,1435428.968,613626.2844
147,MARS,MARSHALL PARK,800 EAST 3RD ST,0,S,SHAMROCK,RD,CHARLOTTE,NC,28202,SPECIAL FACILITY,DEVELOPED,CENTRAL,5.5,7046433405,0,0,District 2,District 3,2009-04-24T00:00:00.000Z,BLACKSR,1450820.488,540129.3861
